comment number,random index,month,year,topic,contribution
2,76338065,3,2006,29,0.691029
124,70362368,11,2006,14,0.27885708
150,40831989,1,2007,33,0.7109476
280,67143996,6,2007,47,0.29293326
377,77523915,8,2007,28,0.65859354
428,80077297,9,2007,4,0.3610193
463,92230083,9,2007,29,0.4701272
689,26478320,12,2007,14,0.37250063
859,51275308,2,2008,4,0.26919165
1218,69248617,5,2008,23,0.805392
1349,30733793,6,2008,14,0.29072323
1564,12734843,8,2008,23,0.6838342
1599,46729743,8,2008,29,0.3795089
2328,22453575,11,2008,28,0.6880373
2494,65404718,11,2008,29,0.3696736
2503,49017576,11,2008,49,0.4786161
2738,11142135,11,2008,4,0.26112235
3039,37528759,11,2008,47,0.26845157
3278,29443534,11,2008,29,0.4721689
3421,46539181,11,2008,23,0.7261047
3523,65769983,11,2008,33,0.73262894
3557,81881170,11,2008,4,0.30500433
4205,34233327,2,2009,29,0.41368142
4226,95532414,2,2009,4,0.6824946
4428,18026429,3,2009,48,0.7144273
5407,46123544,5,2009,28,0.7639411
5589,80131008,5,2009,29,0.4246269
5635,69467624,5,2009,29,0.41139632
7474,96240258,10,2009,27,0.6727592
7728,17023583,10,2009,16,0.73242915
7835,16295714,10,2009,33,0.7302453
8166,75290173,11,2009,49,0.45154107
8627,72529537,11,2009,4,0.25226834
8694,14387495,11,2009,28,0.66501415
9694,86130596,12,2009,28,0.6752007
9764,40464767,12,2009,48,0.70737004
10871,19917806,2,2010,12,0.7453558
10959,47565689,2,2010,49,0.5062559
13831,26881196,6,2010,33,0.77320087
13916,67798369,6,2010,4,0.2665864
17305,95488641,9,2010,23,0.74059606
17375,44107916,9,2010,33,0.8003893
20762,10694956,12,2010,27,0.6728143
25746,47645442,4,2011,14,0.32609951
27796,29872649,5,2011,29,0.42067853
29398,35201129,6,2011,4,0.27584136
30163,22161765,6,2011,49,0.442881
31508,91499001,6,2011,29,0.36662227
32898,13249773,7,2011,48,0.7019814
33526,93635369,7,2011,22,0.523485
34737,44604208,8,2011,16,0.75587225
35528,42509791,8,2011,16,0.7359517
39048,69803693,9,2011,14,0.29495266
39932,25501948,10,2011,12,0.78830034
41217,80817540,10,2011,48,0.6904291
47558,14530721,12,2011,33,0.7270439
48114,98033354,12,2011,28,0.64236975
49703,61936665,1,2012,14,0.35830075
49941,81731878,1,2012,48,0.6783294
50018,15310182,1,2012,14,0.35433117
51493,22214002,1,2012,14,0.30481145
55312,22633839,2,2012,16,0.6911935
56606,30644915,2,2012,47,0.27869016
56808,16813078,2,2012,22,0.68017906
56829,50892190,2,2012,49,0.46823883
57214,64839973,2,2012,29,0.3762937
57774,70391639,2,2012,23,0.7099157
62328,57874451,3,2012,48,0.7173545
65714,19255817,4,2012,12,0.84190464
66679,28673291,5,2012,49,0.44747108
69400,87966991,5,2012,14,0.28243446
74636,27908759,5,2012,14,0.3222642
79052,79428903,5,2012,47,0.3534737
80086,16179736,5,2012,16,0.7088459
84981,88367117,6,2012,23,0.72253764
85905,69963203,6,2012,4,0.2958734
85949,48563902,6,2012,29,0.43158635
87593,18503775,7,2012,49,0.45896086
90348,87639299,7,2012,47,0.28977415
92112,38420654,7,2012,23,0.70181584
92338,19722775,7,2012,33,0.7586727
92405,21240001,7,2012,12,0.78896654
94454,74819365,7,2012,48,0.7012974
94550,74983360,7,2012,48,0.71855366
94987,12096085,7,2012,4,0.3674924
98799,65012994,8,2012,23,0.76056355
99415,39792623,8,2012,16,0.66968566
100326,79252809,8,2012,48,0.67412955
100558,55882638,8,2012,22,0.5187558
100992,36861541,8,2012,22,0.5666658
102104,89815427,8,2012,12,0.745206
103168,30469934,8,2012,29,0.3710849
104008,60770164,8,2012,48,0.6930343
105017,71198589,8,2012,33,0.74921167
105502,37170493,8,2012,14,0.29971513
107031,14938249,8,2012,49,0.45416406
110053,85137547,9,2012,28,0.67963606
112957,88883840,9,2012,47,0.2544846
113484,97531873,10,2012,12,0.7771042
114064,41389923,10,2012,28,0.65894395
114344,17184825,10,2012,16,0.7042089
115952,30547894,10,2012,27,0.6728102
116816,25405053,10,2012,29,0.3787761
118593,82422392,10,2012,12,0.7650193
119106,73479638,10,2012,23,0.66995203
123078,46235982,11,2012,47,0.36360496
123531,99347452,11,2012,49,0.44595507
126602,51557347,11,2012,33,0.7253334
127094,92040465,12,2012,23,0.68251777
128459,79260375,12,2012,16,0.66960335
130440,15515920,12,2012,28,0.6924531
135546,65986803,1,2013,22,0.55504817
137112,57718564,1,2013,49,0.4773892
143414,93460568,2,2013,14,0.28073773
143711,91901674,2,2013,29,0.4382478
144666,14667052,3,2013,12,0.7460944
146554,38614024,3,2013,27,0.68988055
148562,87285535,3,2013,12,0.8048178
151990,57753787,3,2013,49,0.5021933
154277,94379703,3,2013,27,0.7588883
154769,81719657,3,2013,12,0.80492926
155106,90066973,3,2013,12,0.7659829
156571,96541826,3,2013,16,0.70559686
158839,68207406,3,2013,16,0.6644602
163169,17698165,4,2013,12,0.7508857
163745,23156462,4,2013,14,0.30503693
166743,69377525,4,2013,49,0.48923153
172175,11366756,5,2013,23,0.8647426
176087,55972439,5,2013,14,0.31962794
177362,57155353,5,2013,23,0.6728154
178766,81377809,5,2013,16,0.69571114
183584,58475312,6,2013,23,0.6730571
184081,95022594,6,2013,16,0.6939407
186473,16265660,6,2013,23,0.7208229
189599,44693747,7,2013,48,0.70822364
