comment number,random index,month,year,topic,contribution
24,63908679,6,2006,28,0.59169024
29,70186862,6,2006,38,0.8897524
115,34213256,11,2006,44,0.40358502
660,37592266,11,2007,28,0.62047607
661,78222945,11,2007,28,0.5645753
752,94011123,12,2007,12,0.7319423
1604,68237330,8,2008,46,0.5386374
2931,81775498,11,2008,46,0.52839494
3421,28188705,11,2008,23,0.72606206
3430,53068818,11,2008,16,0.53107315
3523,95876210,11,2008,33,0.7322303
4428,56805631,3,2009,48,0.7145377
7807,34741532,10,2009,33,0.59669626
10335,50468187,1,2010,44,0.39336133
10644,23644538,1,2010,38,0.7105987
10871,69373166,2,2010,12,0.745392
11765,25054241,3,2010,44,0.2898726
12500,77170043,4,2010,16,0.6132558
12794,60123814,5,2010,33,0.58815384
15897,83614770,8,2010,38,0.7190395
16015,62144807,8,2010,23,0.586632
16251,65656245,8,2010,46,0.57818836
16342,12515157,8,2010,28,0.5428979
17375,74673860,9,2010,33,0.730485
19015,26770903,11,2010,16,0.55424833
21963,91828131,1,2011,23,0.6149086
23705,98855068,3,2011,44,0.34425408
24976,19744435,3,2011,48,0.57972914
27760,12523781,5,2011,46,0.5252915
28072,12907521,5,2011,46,0.61383116
30110,65454993,6,2011,46,0.58523726
31553,46888333,6,2011,16,0.5861596
37064,36601740,8,2011,38,0.6646811
37437,93052538,9,2011,28,0.5392506
39536,41317501,9,2011,38,0.6997418
43243,28409917,11,2011,33,0.654985
47694,80549594,12,2011,33,0.65112966
49941,67348183,1,2012,48,0.6784018
52057,93695087,1,2012,44,0.31623834
55312,48948913,2,2012,16,0.6912712
55716,38856661,2,2012,44,0.28116807
56847,26364700,2,2012,38,0.68530804
57225,54088927,2,2012,48,0.61660403
57240,39273405,2,2012,48,0.6539923
60141,48145312,3,2012,16,0.50483626
60405,37618157,3,2012,16,0.52181214
61864,90088966,3,2012,16,0.522002
63695,47704101,4,2012,22,0.4273226
64827,42431392,4,2012,12,0.72930354
66043,74713800,4,2012,12,0.6906976
69858,29161376,5,2012,22,0.4149596
73835,52737945,5,2012,23,0.55654186
74778,76958388,5,2012,22,0.43311122
77271,27072084,5,2012,16,0.547521
81244,88092877,6,2012,48,0.5907708
82921,76216033,6,2012,16,0.5171355
84690,13564384,6,2012,16,0.62259823
86854,22259100,6,2012,12,0.7177417
87045,48169054,6,2012,48,0.5907288
89003,66588287,7,2012,44,0.2832279
90668,67319024,7,2012,48,0.5909434
